"hour","count","request_type","division","section"
0,2,"ABCD's / Nite Recycle Blue Box Missed","Solid Waste Management Services","Collections"
0,2,"Appliance (Emergency)","Municipal Licensing & Standards","District Enforcement"
0,2,"Block Pruning","Urban Forestry","Forestry Operations"
0,2,"Boulevard - Pick-Up Shopping Carts","Transportation Services","Road Operations "
0,4,"Boulevards - Damaged Asphalt","Transportation Services","Road Operations "
0,2,"Comm / Nite Recycle Cardboard Missed","Solid Waste Management Services","Collections"
0,2,"Commercial / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
0,2,"Culverts-Damaged / Maintenance Requested","Transportation Services","Road Operations "
0,8,"Election Signs","Municipal Licensing & Standards","District Enforcement"
0,12,"General Pruning","Urban Forestry","Forestry Operations"
0,2,"Graffiti","Municipal Licensing & Standards","District Enforcement"
0,2,"Litter / Bin / Litter Bin Installation","Solid Waste Management Services","Collections"
0,2,"Litter / Bin / Overflow or Missed","Solid Waste Management Services","Collections"
0,4,"Litter / Street Furniture& Poster / Removal","Solid Waste Management Services","Collections"
0,8,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
0,2,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
0,18,"Noise","Municipal Licensing & Standards","District Enforcement"
0,2,"Operational Comment or Complaint","Transportation Services","Road Operations "
0,2,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
0,2,"Operator / Operations Compliment","Solid Waste Management Services","Collections"
0,2,"Pedestrian Issues/Timing/Delays","Transportation Services","Traffic Ops - Traffic Engineering"
0,8,"Property Standards","Municipal Licensing & Standards","District Enforcement"
0,2,"PXO Maintenance","Transportation Services","TMC - TPIM"
0,2,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
0,4,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
0,2,"Res / Organic&Garbage / Missed","Solid Waste Management Services","Collections"
0,2,"Res / Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
0,2,"Res Above Comm / Nite Garbage / Missed","Solid Waste Management Services","Collections"
0,2,"Res Above Comm / Nite Recycle / Missed","Solid Waste Management Services","Collections"
0,2,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
0,2,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
0,4,"Residential: Bin: Missing","Solid Waste Management Services","Collections"
0,2,"Residential: Garbage Bin: Exchange to Extra Large","Solid Waste Management Services","Collections"
0,4,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
0,2,"Residential: Garbage Bin: Exchange to Small","Solid Waste Management Services","Collections"
0,2,"Residential: Recycle Bin: Additional Extra Large","Solid Waste Management Services","Collections"
0,2,"Residential: Recycle Bin: Exchange to Medium","Solid Waste Management Services","Collections"
0,2,"Residential: Recycle Bin: Exchange to Small","Solid Waste Management Services","Collections"
0,2,"Road - Cleaning/Debris","Transportation Services","Road Operations "
0,4,"Road - Damaged","Transportation Services","Road Operations "
0,4,"Road - Sinking","Transportation Services","Road Operations "
0,8,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
0,2,"Stemming","Urban Forestry","Forestry Operations"
0,2,"Storm Clean Up","Urban Forestry","Forestry Operations"
0,2,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
0,2,"Tree Planting","Urban Forestry","Forestry Operations"
0,4,"Water Service Line-Leaking","Toronto Water","District Ops - Operations & Maintenance"
0,2,"Water Service Line-No Water","Toronto Water","District Ops - Operations & Maintenance"
0,4,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
0,2,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
0,2,"Zoning","Municipal Licensing & Standards","District Enforcement"
1,2,"All / Hazardous Waste / Pick Up Request","Solid Waste Management Services","Collections"
1,2,"Bin Investigation Request","Solid Waste Management Services","Collections"
1,2,"Block Pruning","Urban Forestry","Forestry Operations"
1,2,"Dead Animal On Expressway","Transportation Services","Road Operations "
1,8,"Election Signs","Municipal Licensing & Standards","District Enforcement"
1,10,"General Pruning","Urban Forestry","Forestry Operations"
1,2,"General Tree Maintenance","Urban Forestry","Forestry Operations"
1,2,"Graffiti","Municipal Licensing & Standards","District Enforcement"
1,2,"Hydrant-After Usage Test","Toronto Water","District Ops - Operations & Maintenance"
1,2,"Litter / Bin / Litter Bin Installation","Solid Waste Management Services","Collections"
1,2,"Litter / Bin / Overflow or Missed","Solid Waste Management Services","Collections"
1,2,"Litter / Laneway / Clean Up","Solid Waste Management Services","Collections"
1,6,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
1,2,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
1,2,"New Traffic Control Signal Request","Transportation Services","Traffic Ops - Traffic Engineering"
1,22,"Noise","Municipal Licensing & Standards","District Enforcement"
1,4,"Operational Comment or Complaint","Transportation Services","Road Operations "
1,2,"Pollution Spill Response","Toronto Water","District Ops - Operations & Maintenance"
1,8,"Property Standards","Municipal Licensing & Standards","District Enforcement"
1,2,"Res / Nite Organic / Missed","Solid Waste Management Services","Collections"
1,2,"Res / Nite Recycle / Missed","Solid Waste Management Services","Collections"
1,2,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
1,2,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
1,2,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
1,4,"Residential: Bin: Missing","Solid Waste Management Services","Collections"
1,2,"Residential: Garbage Bin: Exchange to Large","Solid Waste Management Services","Collections"
1,4,"Residential: Garbage Bin: Exchange to Small","Solid Waste Management Services","Collections"
1,2,"Residential: Recycle Bin: Additional Extra Large","Solid Waste Management Services","Collections"
1,2,"Residential: Recycle Bin: Exchange to Large","Solid Waste Management Services","Collections"
1,4,"Residential: Recycle Bin: Exchange to Medium","Solid Waste Management Services","Collections"
1,8,"Road - Cleaning/Debris","Transportation Services","Road Operations "
1,2,"Road - Damaged","Transportation Services","Road Operations "
1,14,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
1,6,"Signs","Municipal Licensing & Standards","District Enforcement"
1,2,"Speeding","Transportation Services","Traffic Ops - Traffic Engineering"
1,8,"Stemming","Urban Forestry","Forestry Operations"
1,2,"Storm Clean Up","Urban Forestry","Forestry Operations"
